DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	13q33.1	13	102964708		METTL21EP - SLC10A2	ENSG00000250878	ENSG00000125255		68675	79290	rs4142322-?	rs4142322	0	4142322	intergenic_variant	1	NR	5E-6	5.301029995663981				Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	5p13.3	5	29635057		UBL5P1 - ZCCHC10P2	ENSG00000248418	ENSG00000249744		34189	213627	rs17573102-?	rs17573102	0	17573102	intergenic_variant	1	NR	9E-6	5.045757490560675		8.061831		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	3q27.3	3	187371509		RTP4			ENSG00000136514			rs9028-?	rs9028	0	9028	3_prime_UTR_variant	0	NR	3E-7	6.522878745280337		5.048128		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	14q24.1	14	68864011		MAGOH3P - BLZF2P	ENSG00000270975	ENSG00000258565		1486	3846	rs7149926-?	rs7149926	0	7149926	intergenic_variant	1	NR	1E-6	6.0		4.771962		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	6q21	6	113317153		SOCS5P5 - LINC02518	ENSG00000216904	ENSG00000232316		93081	28596	rs11753543-?	rs11753543	0	11753543	intergenic_variant	1	NR	9E-6	5.045757490560675		3.3840287		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	11q23.3	11	118854185		Y_RNA - CXCR5	ENSG00000222997	ENSG00000160683		18074	29707	rs9736016-?	rs9736016	0	9736016	intron_variant	1	NR	3E-7	6.522878745280337		2.4456832		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	3q25.2	3	152993471		P2RY1 - HMGN2P13	ENSG00000169860	ENSG00000241810		152032	73807	rs7635777-?	rs7635777	0	7635777	intergenic_variant	1	NR	6E-6	5.221848749616356		1.2768127		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	6q21	6	113323366		SOCS5P5 - LINC02518	ENSG00000216904	ENSG00000232316		99294	22383	rs9384860-?	rs9384860	0	9384860	intergenic_variant	1	NR	9E-6	5.045757490560675		1.6424927		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	11p14.3	11	22958929		CCDC179 - LINC02718	ENSG00000255359	ENSG00000255418		98455	195658	rs2470315-?	rs2470315	0	2470315	intergenic_variant	1	NR	2E-6	5.698970004336019		3.2383354		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
2018-11-05	30120429	Schlauch KA	2018-08-17	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/30120429	Single-nucleotide polymorphisms in a cohort of significantly obese women without cardiometabolic diseases.	Obesity without metabolic disease	38 European ancestry cases, 32 European ancestry non-obese controls	NA	20q13.12	20	44042793		TOX2			ENSG00000124191			rs6093921-?	rs6093921	0	6093921	intron_variant	0	NR	5E-6	5.301029995663981		3.296943		Affymetrix [710007]	N	metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	GCST006492	Genome-wide genotyping array
